Johnson        IA0034905420181230B20092789
Big Name BobbieIA0012436320170923B10988213
Joe            WI0891242520190123B39822242
Smith          WI9999999920190909B29999999
Brown          IA0099231320151119P10099871
Halsalfrow     IA1000000020180101P32000000
Rothchild      MI0909090920170802P20200103
Gates          VI9990009920050520P39090901
Jobs           CA1123424520010909S21234098
LotsalettersmenCA9999999919991231S10000000
Legoman        IA9005050320190904S30023023
Snipes         IA9001290020181213J10902133
Hoffman        IA8092392320191031J30920133
Westendorf     MO9090123020191030J20143124
Talahasy       MO9823423420171111J39991003
Barnical       IA9012425320180715C12981432
Boyou          IA0000012320191213C20000324
Mary Jane      CO9001233120080420C11273409
Biggins        CO0423480920190627C20902134
Captain Jack   FL0000000017200528R30000000
Moriarti       ME9091092120200328R12149882
Homes          ME0989123220121205R20921423
Jackson        ME9992134220150909R10293423
